date_mutation,valeur_fonciere,nom_commune,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
18/01/2019,70000,Rives de l'Yon,75,4,90,-1.315836,46.593332
23/01/2019,190000,Venansault,55,3,235,-1.512832,46.686075
23/01/2019,190000,Venansault,45,2,235,-1.512832,46.686075
11/01/2019,135000,La Roche-sur-Yon,20,1,288,-1.422892,46.66247
11/01/2019,135000,La Roche-sur-Yon,28,1,288,-1.422892,46.66247
11/01/2019,135000,La Roche-sur-Yon,30,1,288,-1.422892,46.66247
11/01/2019,135000,La Roche-sur-Yon,10,1,288,-1.422892,46.66247
11/01/2019,135000,La Roche-sur-Yon,35,1,288,-1.422892,46.66247
01/02/2019,120000,La Roche-sur-Yon,52,3,246,-1.425679,46.669675
01/02/2019,120000,La Roche-sur-Yon,52,3,246,-1.425679,46.669675
01/02/2019,140000,Saint-Philbert-de-Bouaine,36,2,553,-1.521578,46.985318
01/02/2019,140000,Saint-Philbert-de-Bouaine,92,2,553,-1.521578,46.985318
01/02/2019,140000,Saint-Philbert-de-Bouaine,125,5,553,-1.521578,46.985318
01/02/2019,85000,La Gaubretière,70,3,54,-1.065373,46.942769
01/02/2019,85000,La Gaubretière,70,3,54,-1.065373,46.942769
21/01/2019,158818,La Gaubretière,46,1,1327,-1.037713,46.934772
21/01/2019,158818,La Gaubretière,118,5,1327,-1.037713,46.934772
13/02/2019,800000,Les Herbiers,30,2,793,-1.011268,46.875957
13/02/2019,800000,Les Herbiers,30,1,793,-1.011268,46.875957
13/02/2019,800000,Les Herbiers,37,1,793,-1.011268,46.875957
07/02/2019,290000,Mareuil-sur-Lay-Dissais,95,4,738,-1.217255,46.534148
07/02/2019,290000,Mareuil-sur-Lay-Dissais,50,2,738,-1.217255,46.534148
07/02/2019,290000,Mareuil-sur-Lay-Dissais,30,2,738,-1.217255,46.534148
07/02/2019,290000,Mareuil-sur-Lay-Dissais,90,3,738,-1.217255,46.534148
06/03/2019,90000,Rives de l'Yon,45,1,104,-1.311231,46.590723
06/03/2019,90000,Rives de l'Yon,40,2,104,-1.311231,46.590723
01/03/2019,344500,La Roche-sur-Yon,73,4,324,-1.43508,46.668365
01/03/2019,344500,La Roche-sur-Yon,18,1,324,-1.43508,46.668365
01/03/2019,344500,La Roche-sur-Yon,18,1,324,-1.43508,46.668365
06/03/2019,270000,Montaigu-Vendée,20,1,128,-1.314086,46.977085
06/03/2019,270000,Montaigu-Vendée,15,1,128,-1.314086,46.977085
06/03/2019,270000,Montaigu-Vendée,25,1,128,-1.314086,46.977085
06/03/2019,270000,Montaigu-Vendée,28,1,128,-1.314086,46.977085
06/03/2019,270000,Montaigu-Vendée,25,1,128,-1.314086,46.977085
06/03/2019,270000,Montaigu-Vendée,17,1,128,-1.314086,46.977085
11/03/2019,55500,La Roche-sur-Yon,25,1,35,-1.443592,46.666667
21/03/2019,130000,Rocheservière,87,4,138,-1.509232,46.934988
28/03/2019,220000,Montaigu-Vendée,29,1,104,-1.314277,46.976982
28/03/2019,220000,Montaigu-Vendée,40,1,104,-1.314277,46.976982
28/03/2019,220000,Montaigu-Vendée,40,1,104,-1.314277,46.976982
28/03/2019,220000,Montaigu-Vendée,26,1,104,-1.314277,46.976982
28/03/2019,220000,Montaigu-Vendée,28,1,104,-1.314277,46.976982
01/04/2019,200000,La Gaubretière,25,2,703,-1.02609,46.939507
01/04/2019,200000,La Gaubretière,25,2,549,-1.02609,46.939507
01/04/2019,200000,La Gaubretière,91,5,703,-1.02609,46.939507
01/04/2019,200000,La Gaubretière,91,5,549,-1.02609,46.939507
19/04/2019,175000,Saint-Laurent-sur-Sèvre,27,1,90,-0.892338,46.959129
19/04/2019,175000,Saint-Laurent-sur-Sèvre,35,2,90,-0.892338,46.959129
19/04/2019,175000,Saint-Laurent-sur-Sèvre,15,1,90,-0.892338,46.959129
19/04/2019,175000,Saint-Laurent-sur-Sèvre,19,1,90,-0.892338,46.959129
06/04/2019,140000,Montaigu-Vendée,33,1,110,-1.312169,46.976624
06/04/2019,140000,Montaigu-Vendée,63,3,110,-1.312169,46.976624
10/04/2019,150000,La Roche-sur-Yon,122,4,461,-1.440377,46.669986
10/04/2019,150000,La Roche-sur-Yon,22,1,461,-1.440377,46.669986
29/04/2019,77000,Saint-Paul-en-Pareds,92,4,198,-0.9945,46.822477
10/05/2019,125000,Rocheservière,90,4,148,-1.509325,46.934989
25/04/2019,66500,Essarts en Bocage,80,3,69,-1.129496,46.797883
30/04/2019,330000,La Chaize-le-Vicomte,68,3,4275,-1.286497,46.669389
30/04/2019,330000,La Chaize-le-Vicomte,119,7,4275,-1.286497,46.669389
06/05/2019,265400,La Roche-sur-Yon,18,1,393,-1.416849,46.671031
06/05/2019,265400,La Roche-sur-Yon,24,1,393,-1.416849,46.671031
06/05/2019,265400,La Roche-sur-Yon,19,1,393,-1.416849,46.671031
06/05/2019,265400,La Roche-sur-Yon,29,2,393,-1.416849,46.671031
06/05/2019,265400,La Roche-sur-Yon,17,1,393,-1.416849,46.671031
06/05/2019,265400,La Roche-sur-Yon,18,1,393,-1.416849,46.671031
06/05/2019,265400,La Roche-sur-Yon,30,2,332,-1.417003,46.671049
06/05/2019,265400,La Roche-sur-Yon,50,3,332,-1.417003,46.671049
06/05/2019,265400,La Roche-sur-Yon,25,1,332,-1.417003,46.671049
06/05/2019,212000,La Roche-sur-Yon,72,3,115,-1.427237,46.672239
06/05/2019,212000,La Roche-sur-Yon,74,3,115,-1.427237,46.672239
10/05/2019,215000,La Roche-sur-Yon,31,2,571,-1.434496,46.653137
10/05/2019,215000,La Roche-sur-Yon,14,1,571,-1.434496,46.653137
10/05/2019,215000,La Roche-sur-Yon,16,0,571,-1.434496,46.653137
10/05/2019,215000,La Roche-sur-Yon,13,1,571,-1.434496,46.653137
10/05/2019,215000,La Roche-sur-Yon,19,1,571,-1.434496,46.653137
10/05/2019,215000,La Roche-sur-Yon,15,1,571,-1.434496,46.653137
10/05/2019,215000,La Roche-sur-Yon,17,1,571,-1.434496,46.653137
10/05/2019,215000,La Roche-sur-Yon,12,1,571,-1.434496,46.653137
21/05/2019,60000,Chantonnay,32,1,560,-1.030776,46.708571
21/05/2019,60000,Chantonnay,42,2,560,-1.030776,46.708571
20/05/2019,224000,Saint-Laurent-sur-Sèvre,12,1,140,-0.891358,46.959032
20/05/2019,224000,Saint-Laurent-sur-Sèvre,12,1,140,-0.891358,46.959032
20/05/2019,224000,Saint-Laurent-sur-Sèvre,12,1,140,-0.891358,46.959032
20/05/2019,224000,Saint-Laurent-sur-Sèvre,44,2,140,-0.891358,46.959032
20/05/2019,224000,Saint-Laurent-sur-Sèvre,12,1,140,-0.891358,46.959032
20/05/2019,224000,Saint-Laurent-sur-Sèvre,20,1,140,-0.891358,46.959032
20/05/2019,224000,Saint-Laurent-sur-Sèvre,19,1,140,-0.891358,46.959032
07/06/2019,181500,La Roche-sur-Yon,16,1,70,-1.419193,46.671366
07/06/2019,181500,La Roche-sur-Yon,21,1,70,-1.419193,46.671366
07/06/2019,181500,La Roche-sur-Yon,27,1,70,-1.419193,46.671366
07/06/2019,181500,La Roche-sur-Yon,21,1,70,-1.419193,46.671366
05/06/2019,220000,La Roche-sur-Yon,100,4,888,-1.444063,46.677197
05/06/2019,220000,La Roche-sur-Yon,100,4,888,-1.444063,46.677197
31/05/2019,430000,Saint-Laurent-sur-Sèvre,260,0,156,-0.891464,46.959009
24/05/2019,270000,La Boissière-de-Montaigu,26,1,558,-1.19165,46.950922
24/05/2019,270000,La Boissière-de-Montaigu,26,1,558,-1.19165,46.950922
24/05/2019,270000,La Boissière-de-Montaigu,26,1,558,-1.19165,46.950922
29/05/2019,235673,La Roche-sur-Yon,44,3,337,-1.452818,46.666993
29/05/2019,235673,La Roche-sur-Yon,33,2,337,-1.452818,46.666993
29/05/2019,235673,La Roche-sur-Yon,19,1,337,-1.452818,46.666993
29/05/2019,235673,La Roche-sur-Yon,29,2,337,-1.452818,46.666993
29/05/2019,235673,La Roche-sur-Yon,23,1,337,-1.452818,46.666993
07/06/2019,160800,La Roche-sur-Yon,85,4,149,-1.431946,46.66501
04/06/2019,104125,Cugand,40,2,90,-1.254664,47.063228
04/06/2019,104125,Cugand,30,1,90,-1.254664,47.063228
26/06/2019,80000,Essarts en Bocage,110,4,200,-1.226495,46.772706
04/07/2019,200000,Montaigu-Vendée,24,1,776,-1.337926,46.962791
04/07/2019,200000,Montaigu-Vendée,23,1,776,-1.337926,46.962791
04/07/2019,200000,Montaigu-Vendée,25,1,776,-1.337926,46.962791
04/07/2019,200000,Montaigu-Vendée,23,1,776,-1.337926,46.962791
04/07/2019,200000,Montaigu-Vendée,26,1,776,-1.337926,46.962791
04/07/2019,200000,Montaigu-Vendée,23,1,776,-1.337926,46.962791
27/06/2019,80000,Mortagne-sur-Sèvre,60,3,56,-0.950479,46.9932
28/06/2019,168500,La Roche-sur-Yon,19,1,462,-1.426281,46.652814
19/06/2019,149000,Les Herbiers,30,2,49,-1.016489,46.870934
19/06/2019,149000,Les Herbiers,30,2,49,-1.016489,46.870934
19/06/2019,149000,Les Herbiers,30,2,49,-1.016489,46.870934
17/07/2019,58000,Saint-Vincent-Sterlanges,32,1,80,-1.085134,46.740742
17/07/2019,58000,Saint-Vincent-Sterlanges,23,1,80,-1.085134,46.740742
17/07/2019,58000,Saint-Vincent-Sterlanges,53,2,80,-1.085134,46.740742
08/07/2019,200000,La Chaize-le-Vicomte,83,4,686,-1.29773,46.670584
08/07/2019,200000,La Chaize-le-Vicomte,44,2,686,-1.29773,46.670584
08/07/2019,200000,La Chaize-le-Vicomte,68,3,686,-1.29773,46.670584
08/07/2019,200000,La Chaize-le-Vicomte,80,4,686,-1.29773,46.670584
08/07/2019,200000,La Chaize-le-Vicomte,37,2,686,-1.29773,46.670584
09/07/2019,164295,Les Herbiers,30,1,130,-1.010358,46.864313
09/07/2019,164295,Les Herbiers,20,1,130,-1.010358,46.864313
09/07/2019,164295,Les Herbiers,20,1,130,-1.010358,46.864313
09/07/2019,164295,Les Herbiers,20,1,130,-1.010358,46.864313
09/07/2019,164295,Les Herbiers,20,1,130,-1.010358,46.864313
11/07/2019,142000,La Roche-sur-Yon,41,2,555,-1.439187,46.667335
11/07/2019,142000,La Roche-sur-Yon,18,1,555,-1.439187,46.667335
24/07/2019,120000,Fougeré,62,2,311,-1.231706,46.659388
24/07/2019,120000,Fougeré,82,3,311,-1.231706,46.659388
26/08/2019,167200,Bournezeau,40,1,309,-1.170895,46.635037
26/08/2019,167200,Bournezeau,130,3,309,-1.170895,46.635037
01/08/2019,92000,Saint-Aubin-des-Ormeaux,122,4,185,-1.045723,46.990853
01/08/2019,92000,Saint-Aubin-des-Ormeaux,58,2,185,-1.045723,46.990853
01/08/2019,92000,Saint-Aubin-des-Ormeaux,37,2,185,-1.045723,46.990853
02/08/2019,35000,Les Herbiers,74,3,43,-1.015389,46.872872
02/08/2019,35000,Les Herbiers,73,3,43,-1.015389,46.872872
02/08/2019,35000,Les Herbiers,67,3,43,-1.015389,46.872872
23/08/2019,260000,Montaigu-Vendée,50,3,411,-1.342263,46.959935
14/08/2019,275000,La Roche-sur-Yon,23,1,105,-1.425183,46.67112
14/08/2019,275000,La Roche-sur-Yon,30,2,105,-1.425183,46.67112
14/08/2019,275000,La Roche-sur-Yon,14,1,105,-1.425183,46.67112
14/08/2019,275000,La Roche-sur-Yon,17,1,105,-1.425183,46.67112
14/08/2019,275000,La Roche-sur-Yon,22,1,105,-1.425183,46.67112
14/08/2019,275000,La Roche-sur-Yon,17,1,105,-1.425183,46.67112
14/08/2019,275000,La Roche-sur-Yon,14,1,105,-1.425183,46.67112
27/08/2019,390000,La Roche-sur-Yon,152,7,292,-1.427503,46.67281
06/09/2019,125000,La Gaubretière,43,2,147,-1.061274,46.938825
06/09/2019,125000,La Gaubretière,55,2,147,-1.061274,46.938825
04/09/2019,200000,Aubigny-Les Clouzeaux,45,2,231,-1.452585,46.596158
04/09/2019,200000,Aubigny-Les Clouzeaux,62,3,231,-1.452585,46.596158
04/09/2019,152500,La Roche-sur-Yon,59,2,130,-1.420012,46.666852
04/09/2019,152500,La Roche-sur-Yon,62,2,130,-1.420012,46.666852
20/08/2019,112000,La Rabatelière,32,1,385,-1.257797,46.861777
20/08/2019,112000,La Rabatelière,46,4,385,-1.257797,46.861777
27/09/2019,129000,Bazoges-en-Paillers,132,5,196,-1.132521,46.907373
27/09/2019,129000,Bazoges-en-Paillers,35,2,196,-1.132521,46.907373
27/09/2019,130000,La Roche-sur-Yon,22,1,1005,-1.442646,46.654281
27/09/2019,130000,La Roche-sur-Yon,22,1,1005,-1.442646,46.654281
27/09/2019,130000,La Roche-sur-Yon,22,1,1005,-1.442646,46.654281
27/09/2019,130000,La Roche-sur-Yon,22,1,1005,-1.442646,46.654281
27/09/2019,130000,La Roche-sur-Yon,22,1,1005,-1.442646,46.654281
27/09/2019,130000,La Roche-sur-Yon,22,1,1005,-1.442646,46.654281
02/10/2019,100000,Tiffauges,33,1,586,-1.112949,47.015622
02/10/2019,100000,Tiffauges,49,2,586,-1.112949,47.015622
02/10/2019,100000,Tiffauges,45,2,672,-1.113168,47.015543
02/10/2019,100000,Tiffauges,50,2,672,-1.113168,47.015543
02/10/2019,100000,Tiffauges,50,2,672,-1.113168,47.015543
02/10/2019,120000,Mortagne-sur-Sèvre,37,1,1208,-0.975852,47.00823
02/10/2019,120000,Mortagne-sur-Sèvre,160,3,1208,-0.975852,47.00823
24/09/2019,325000,Les Herbiers,20,1,961,-1.01084,46.873128
24/09/2019,325000,Les Herbiers,45,1,961,-1.01084,46.873128
24/09/2019,325000,Les Herbiers,20,1,961,-1.01084,46.873128
24/09/2019,325000,Les Herbiers,20,1,961,-1.01084,46.873128
24/09/2019,325000,Les Herbiers,20,1,961,-1.01084,46.873128
23/10/2019,102000,La Chaize-le-Vicomte,52,1,73,-1.292945,46.672616
19/10/2019,80000,Rocheservière,90,4,567,-1.511355,46.939373
24/10/2019,85000,Les Landes-Genusson,90,3,85,-1.119619,46.964015
15/10/2019,125000,La Roche-sur-Yon,50,2,373,-1.4198,46.670682
15/10/2019,125000,La Roche-sur-Yon,50,2,373,-1.4198,46.670682
04/11/2019,393852.38,La Roche-sur-Yon,50,2,171,-1.420294,46.677742
04/11/2019,393852.38,La Roche-sur-Yon,32,2,171,-1.420294,46.677742
04/11/2019,393852.38,La Roche-sur-Yon,36,2,171,-1.420294,46.677742
04/11/2019,393852.38,La Roche-sur-Yon,30,1,171,-1.420294,46.677742
04/11/2019,393852.38,La Roche-sur-Yon,30,1,171,-1.420294,46.677742
04/11/2019,393852.38,La Roche-sur-Yon,50,2,171,-1.420294,46.677742
04/11/2019,393852.38,La Roche-sur-Yon,40,2,171,-1.420294,46.677742
08/11/2019,120000,Chauché,75,4,1245,-1.269069,46.839199
08/11/2019,120000,Chauché,75,4,700,-1.269069,46.839199
08/11/2019,120000,Chauché,13,1,700,-1.269069,46.839199
08/11/2019,120000,Chauché,13,1,1245,-1.269069,46.839199
27/11/2019,160000,Montaigu-Vendée,25,1,74,-1.313853,46.978113
27/11/2019,160000,Montaigu-Vendée,21,1,74,-1.313853,46.978113
27/11/2019,160000,Montaigu-Vendée,27,1,74,-1.313853,46.978113
27/11/2019,160000,Montaigu-Vendée,23,1,74,-1.313853,46.978113
15/11/2019,185000,Les Herbiers,29,1,89,-1.012575,46.871412
15/11/2019,185000,Les Herbiers,26,1,89,-1.012575,46.871412
15/11/2019,185000,Les Herbiers,42,1,89,-1.012575,46.871412
30/11/2019,120000,Mouilleron-le-Captif,119,6,3863,-1.463218,46.689683
30/11/2019,120000,Mouilleron-le-Captif,43,1,500,-1.463218,46.689683
30/11/2019,120000,Mouilleron-le-Captif,43,1,3863,-1.463218,46.689683
30/11/2019,120000,Mouilleron-le-Captif,119,6,500,-1.463218,46.689683
11/12/2019,135000,La Roche-sur-Yon,43,2,306,-1.422449,46.662765
24/12/2019,80000,La Roche-sur-Yon,22,2,82,-1.440186,46.674873
24/12/2019,80000,La Roche-sur-Yon,25,2,82,-1.440186,46.674873
23/12/2019,90000,Nesmy,80,5,1345,-1.399807,46.589463
23/12/2019,90000,Nesmy,80,5,1200,-1.399807,46.589463
23/12/2019,90000,Nesmy,80,5,600,-1.399807,46.589463
23/12/2019,90000,Nesmy,70,3,1200,-1.399807,46.589463
23/12/2019,90000,Nesmy,70,3,600,-1.399807,46.589463
23/12/2019,90000,Nesmy,70,3,1345,-1.399807,46.589463
17/12/2019,200000,Bellevigny,84,3,1678,-1.432773,46.783139
17/12/2019,200000,Bellevigny,66,3,1678,-1.432773,46.783139
17/12/2019,200000,Bellevigny,46,2,1678,-1.432773,46.783139
17/12/2019,200000,Bellevigny,47,2,1678,-1.432773,46.783139
17/12/2019,200000,Bellevigny,53,2,1678,-1.432773,46.783139
30/12/2019,150000,La Roche-sur-Yon,15,1,354,-1.410493,46.660836
30/12/2019,150000,La Roche-sur-Yon,16,1,354,-1.410493,46.660836
30/12/2019,150000,La Roche-sur-Yon,15,1,354,-1.410493,46.660836
