code_commune,annee_mutation,valeur_fonciere,nom_commune,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
1,2020,142000,Abbaretz,60,3,262,-1.532729,47.552325
1,2020,142000,Abbaretz,50,2,262,-1.532729,47.552325
1,2020,142000,Abbaretz,60,3,262,-1.532729,47.552325
1,2020,170000,Abbaretz,52,3,435,-1.535016,47.549604
1,2020,170000,Abbaretz,62,4,435,-1.535016,47.549604
2,2020,71000,Ahuillé,42,3,245,-0.871363,48.019156
2,2020,71000,Ahuillé,40,3,245,-0.871363,48.019156
2,2020,71000,Ahuillé,74,3,245,-0.871363,48.019156
2,2020,71000,Ahuillé,32,2,245,-0.871363,48.019156
3,2020,155000,Aigrefeuille-sur-Maine,51,3,87,-1.399326,47.076777
3,2020,155000,Aigrefeuille-sur-Maine,51,2,87,-1.399326,47.076777
3,2020,170000,Aigrefeuille-sur-Maine,40,2,123,-1.399481,47.078935
3,2020,170000,Aigrefeuille-sur-Maine,40,2,123,-1.399481,47.078935
4,2020,235000,Aizenay,62,2,200,-1.6111,46.741329
4,2020,235000,Aizenay,57,4,200,-1.6111,46.741329
4,2020,235000,Aizenay,25,1,200,-1.6111,46.741329
4,2020,235000,Aizenay,78,4,200,-1.6111,46.741329
4,2020,235000,Aizenay,22,1,200,-1.6111,46.741329
5,2020,510000,Allonnes,85,4,10776,0.145263,47.972677
5,2020,510000,Allonnes,30,1,10776,0.145263,47.972677
6,2020,245000,Ancenis-Saint-Géréon,81,3,979,-1.20682,47.368455
6,2020,245000,Ancenis-Saint-Géréon,109,5,979,-1.20682,47.368455
6,2020,450000,Ancenis-Saint-Géréon,70,3,638,-1.18115,47.364467
6,2020,450000,Ancenis-Saint-Géréon,34,2,638,-1.18115,47.364467
6,2020,450000,Ancenis-Saint-Géréon,120,5,638,-1.18115,47.364467
6,2020,450000,Ancenis-Saint-Géréon,70,2,638,-1.18115,47.364467
6,2020,450000,Ancenis-Saint-Géréon,65,2,638,-1.18115,47.364467
