,date_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude_appart,latitude_appart,Nom_commune,Code_postal,chef_lieu,longitude_cl,latitude_cl,distance
0,25/02/2020,142000.0,60,3,-1.532729,47.552325,abbaretz,44170,nantes,-1.548204252,47.23204641,35.627251362879285
1,25/02/2020,142000.0,50,2,-1.532729,47.552325,abbaretz,44170,nantes,-1.548204252,47.23204641,35.627251362879285
2,25/02/2020,142000.0,60,3,-1.532729,47.552325,abbaretz,44170,nantes,-1.548204252,47.23204641,35.627251362879285
3,19/06/2020,170000.0,52,3,-1.535016,47.549604,abbaretz,44170,nantes,-1.548204252,47.23204641,35.31960204179991
4,19/06/2020,170000.0,62,4,-1.535016,47.549604,abbaretz,44170,nantes,-1.548204252,47.23204641,35.31960204179991
5,21/09/2020,71000.0,42,3,-0.871363,48.019156,ahuille,53940,laval,-0.765729369,48.06110437,9.154234688915869
6,21/09/2020,71000.0,40,3,-0.871363,48.019156,ahuille,53940,laval,-0.765729369,48.06110437,9.154234688915869
7,21/09/2020,71000.0,74,3,-0.871363,48.019156,ahuille,53940,laval,-0.765729369,48.06110437,9.154234688915869
8,21/09/2020,71000.0,32,2,-0.871363,48.019156,ahuille,53940,laval,-0.765729369,48.06110437,9.154234688915869
9,03/11/2021,50000.0,27,4,-0.871239,48.018826,ahuille,53940,laval,-0.765729369,48.06110437,9.16506782620362
10,10/01/2020,155000.0,51,3,-1.399326,47.076777,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.626351040443566
11,10/01/2020,155000.0,51,2,-1.399326,47.076777,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.626351040443566
12,10/12/2020,170000.0,40,2,-1.399481,47.078935,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.41937511449042
13,10/12/2020,170000.0,40,2,-1.399481,47.078935,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.41937511449042
14,28/01/2021,144450.0,40,2,-1.402163,47.077506,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.441168127434093
15,15/01/2021,167000.0,67,3,-1.402163,47.077506,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.441168127434093
16,21/05/2021,350000.0,58,2,-1.399699,47.076826,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.606316043926945
17,21/05/2021,350000.0,64,2,-1.399699,47.076826,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.606316043926945
18,21/05/2021,350000.0,61,3,-1.399699,47.076826,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.606316043926945
19,08/01/2021,175000.0,74,3,-1.399975,47.075805,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.69014261750027
20,13/07/2021,177000.0,77,3,-1.399975,47.075805,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.69014261750027
21,20/05/2021,145000.0,74,4,-1.399975,47.075805,aigrefeuille sur maine,44140,nantes,-1.548204252,47.23204641,20.69014261750027
22,27/11/2020,235000.0,62,2,-1.6111,46.741329,aizenay,85190,la roche sur yon,-1.407896452,46.6676659,17.565378986771883
