date_mutation,valeur_fonciere,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
06/01/2020,99500,Le Tablier,Maison,99,3,333,-1.312555,46.550712
07/01/2020,160000,Chavagnes-en-Paillers,Appartement,96,2,122,-1.250994,46.892817
06/01/2020,185000,La Roche-sur-Yon,Maison,94,4,429,-1.443054,46.666849
11/01/2020,113000,La Roche-sur-Yon,Maison,87,3,265,-1.440872,46.686848
06/01/2020,168000,Le Poiré-sur-Vie,Maison,61,3,367,-1.513745,46.761571
03/01/2020,188000,Aubigny-Les Clouzeaux,Maison,134,5,1000,-1.507722,46.647122
03/01/2020,188000,Aubigny-Les Clouzeaux,Maison,134,5,3091,-1.507722,46.647122
03/01/2020,155000,La Roche-sur-Yon,Maison,75,5,314,-1.443834,46.679212
03/01/2020,133000,La Roche-sur-Yon,Maison,48,2,208,-1.433628,46.667419
10/01/2020,185000,La Roche-sur-Yon,Maison,90,4,477,-1.443907,46.667472
13/01/2020,173000,La Roche-sur-Yon,Maison,92,4,328,-1.424053,46.678019
09/01/2020,120000,La Roche-sur-Yon,Maison,51,1,202,-1.449109,46.687172
06/01/2020,45052.5,Aubigny-Les Clouzeaux,Maison,95,4,556,-1.45992,46.590833
06/01/2020,113000,La Roche-sur-Yon,Maison,68,4,353,-1.433137,46.658952
03/01/2020,88297,Saint-André-Goule-d'Oie,Maison,92,4,175,-1.155398,46.830446
16/01/2020,223800,Aubigny-Les Clouzeaux,Maison,94,4,527,-1.457473,46.592672
03/01/2020,300000,Montaigu-Vendée,Maison,164,7,688,-1.310763,46.978157
06/01/2020,72000,Bellevigny,Maison,76,3,80,-1.445468,46.797533
06/01/2020,233000,Aizenay,Maison,104,5,5000,-1.639793,46.745834
06/01/2020,233000,Aizenay,Maison,104,5,5902,-1.639793,46.745834
10/01/2020,222000,Treize-Septiers,Maison,155,6,684,-1.251256,46.996388
03/01/2020,219000,Chantonnay,Maison,140,5,1013,-1.016337,46.662809
13/01/2020,135000,Beaufou,Maison,101,4,1270,-1.501266,46.811659
16/01/2020,140000,Montaigu-Vendée,Appartement,47,2,209,-1.330857,47.002061
16/01/2020,140000,Montaigu-Vendée,Appartement,66,3,209,-1.330857,47.002061
02/01/2020,113000,Mortagne-sur-Sèvre,Maison,84,3,156,-0.947305,46.994993
10/01/2020,270000,Rives de l'Yon,Maison,174,6,800,-1.324822,46.600637
10/01/2020,270000,Rives de l'Yon,Maison,174,6,2189,-1.324822,46.600637
03/01/2020,285000,La Bernardière,Maison,105,4,1935,-1.262083,47.04851
03/01/2020,285000,La Bernardière,Maison,105,4,500,-1.262083,47.04851
02/01/2020,200000,Les Epesses,Maison,81,3,228,-0.897346,46.883411
02/01/2020,200000,Les Epesses,Maison,103,4,378,-0.897864,46.883435
08/01/2020,163000,Cugand,Maison,82,4,909,-1.239394,47.059662
03/01/2020,87500,Treize-Septiers,Maison,180,6,186,-1.235566,47.013903
02/01/2020,179700,La Genétouze,Maison,90,3,1000,-1.515304,46.733096
02/01/2020,179700,La Genétouze,Maison,90,3,490,-1.515304,46.733096
03/01/2020,50000,Essarts en Bocage,Maison,101,5,248,-1.227144,46.77534
15/01/2020,290000,Saint-Fulgent,Maison,158,4,1320,-1.184723,46.858607
15/01/2020,290000,Saint-Fulgent,Maison,158,4,500,-1.184723,46.858607
03/01/2020,22500,Montaigu-Vendée,Maison,180,8,260,-1.315161,46.971032
03/01/2020,22500,Montaigu-Vendée,Maison,180,8,1000,-1.315161,46.971032
03/01/2020,22500,Montaigu-Vendée,Maison,180,8,260,-1.315161,46.971032
03/01/2020,22500,Montaigu-Vendée,Maison,180,8,1000,-1.315161,46.971032
07/01/2020,169000,Les Brouzils,Maison,102,4,598,-1.317991,46.890941
02/01/2020,250000,Montaigu-Vendée,Maison,102,3,773,-1.256741,46.967915
20/01/2020,155000,La Roche-sur-Yon,Maison,82,4,215,-1.44866,46.676461
20/01/2020,165000,La Roche-sur-Yon,Maison,90,5,156,-1.421668,46.681988
